topk_patches_noise,topk_patches_blur,noise_global,noise_ADM,noise_CollabDiff,noise_SID,blur_global,blur_ADM,blur_CollabDiff,blur_SID,minder_global,minder_ADM,minder_CollabDiff,minder_SID
5,5,0.6414,0.6921,0.5645,0.6570,0.5027,0.6087,0.6408,0.3828,0.5855,0.6941,0.6464,0.4909
8,8,0.6520,0.7104,0.5690,0.6642,0.5034,0.6129,0.6679,0.3683,0.5893,0.7067,0.6755,0.4843
10,10,0.6710,0.7240,0.6007,0.6828,0.5037,0.6147,0.6820,0.3610,0.5958,0.7166,0.6922,0.4827
15,15,0.6790,0.7239,0.6224,0.6888,0.5047,0.6189,0.7075,0.3469,0.5951,0.7176,0.7174,0.4666
20,20,0.6917,0.7370,0.6420,0.6989,0.5052,0.6224,0.7256,0.3361,0.5989,0.7334,0.7337,0.4555
25,25,0.6998,0.7420,0.6582,0.7037,0.5060,0.6262,0.7398,0.3279,0.6042,0.7352,0.7522,0.4556
30,30,0.7083,0.7529,0.6706,0.7094,0.5066,0.6296,0.7499,0.3213,0.6029,0.7423,0.7578,0.4454
40,40,0.7110,0.7608,0.6878,0.7027,0.5077,0.6361,0.7671,0.3107,0.6059,0.7548,0.7776,0.4337
50,50,0.7199,0.7614,0.7047,0.7135,0.5081,0.6419,0.7785,0.3022,0.6081,0.7600,0.7858,0.4278
60,60,0.7230,0.7708,0.7078,0.7126,0.5085,0.6472,0.7872,0.2955,0.6071,0.7663,0.7968,0.4178
70,70,0.7306,0.7798,0.7241,0.7165,0.5088,0.6519,0.7945,0.2903,0.6105,0.7720,0.8041,0.4151
85,85,0.7328,0.7774,0.7357,0.7141,0.5089,0.6574,0.8022,0.2838,0.6083,0.7715,0.8130,0.4064
100,100,0.7396,0.7888,0.7415,0.7173,0.5088,0.6620,0.8085,0.2788,0.6110,0.7792,0.8166,0.4059
120,120,0.7429,0.7976,0.7438,0.7180,0.5083,0.6668,0.8142,0.2736,0.6121,0.7904,0.8225,0.3997
140,140,0.7453,0.7995,0.7500,0.7174,0.5077,0.6708,0.8182,0.2697,0.6117,0.7932,0.8283,0.3938
160,160,0.7451,0.8037,0.7488,0.7144,0.5071,0.6743,0.8215,0.2667,0.6104,0.7934,0.8316,0.3904
180,180,0.7475,0.8079,0.7503,0.7159,0.5066,0.6768,0.8236,0.2643,0.6104,0.7967,0.8333,0.3878
200,200,0.7481,0.8088,0.7565,0.7130,0.5062,0.6790,0.8257,0.2624,0.6109,0.7961,0.8365,0.3886
225,225,0.7509,0.8151,0.7573,0.7140,0.5059,0.6811,0.8274,0.2605,0.6115,0.8041,0.8379,0.3867
256,256,0.7498,0.8139,0.7612,0.7108,0.5056,0.6828,0.8296,0.2589,0.6122,0.8043,0.8396,0.3857
